video_id,title,publishedAt,duration,dimension,definition,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,tags,dateExtract
ZJ1OLaus4r0,Tư tưởng KHỔNG TỬ liệu còn PHÙ HỢP với HIỆN ĐẠI? | Gekki_ | Quan điểm,2023-09-10T10:30:19Z,PT15M35S,2d,hd,39124,810,,0,131,"['tư tưởng khổng tử liệu còn phù hợp với hiện đại', '100 lời dạy của khổng tử lão tử', 'những lời dạy để đời của khổng tử', 'khổng tử là ai vì sao trung quốc việt nam thờ khổng tử', 'khổng tử là ai mà có tầm ảnh hưởng nhất nhì trung hoa', 'triết học cho cuộc sống philosophy for life better version', 'cổ nhân nói ngẫm nhân tâm', 'triết học phương đông', 'khổng tử', 'lời dạy của khổng tử', 'trí tuệ khổng tử', 'lời dạy khổng tử', 'khổng tử là ai', 'khong tu']",2024-07-09 14:10:10.600914
QhIii3QMQcE,"Còn trẻ, làm sao để ĐẠT TỰ DO TÀI CHÍNH? | Cá hồi leo thác | Tiền tài",2023-09-09T10:30:08Z,PT10M,2d,hd,28115,1114,,0,69,"['đạt tự do tài chính khi còn trẻ spiderum', 'hành trình tự do tài chính hieutv', 'tự do tài chính rồi sao nữa vtv24', 'làm thế nào để đạt tự do tài chính', 'tự do tài chính nghỉ hưu sớm', 'cách đầu tư để tự do tài chính', 'tự do tài chính làm chủ hay làm thuê vtv24', 'tự do tài chính', 'lập kế hoạch để tự do tài chính', 'tài chính', 'đầu tư tài chính', 'tài chính cá nhân', 'tài chính tự do', 'quản lý tài chính cá nhân', 'bí mật tự do tài chính', 'thế nào là tự do tài chính', 'tu do tai chinh']",2024-07-09 14:10:10.719825
_pXSPIgbVqQ,Sự tương đồng giữa PHẬT GIÁO & CHỦ NGHĨA KHẮC KỶ | Jimmy Buổi Tối | Lối sống,2023-09-09T04:30:20Z,PT13M29S,2d,hd,105793,2306,,0,160,"['sự tương đồng giữa phật giáo và chủ nghĩa khắc kỷ', 'phật giáo', 'phật giáo và khoa học', 'chủ nghĩa khắc kỷ', 'chủ nghĩa khắc kỷ và các trường phái triết học khác', 'phật giáo việt nam', 'sự khác biệt giữa đạo phật và các tôn giáo khác', 'sách chủ nghĩa khắc kỷ', 'chủ nghĩa khắc kỷ là gì', 'triết học khắc kỷ', 'bài học vô giá từ chủ nghĩa khắc kỷ', 'khắc kỷ', 'khắc kỷ nghĩa là gì', 'sổ tay chủ nghĩa khắc kỷ', 'bài học chủ nghĩa khắc kỷ', 'hà khuất chủ nghĩa khắc kỷ', 'sách nói chủ nghĩa khắc kỷ']",2024-07-09 14:10:10.840591
Gsx2D3-K994,ÁO GIÁP NGỰC PHỤ NỮ: Thiết thực hay Ngớ ngẩn? | FightingStyles | Quan điểm,2023-09-08T10:30:10Z,PT10M59S,2d,hd,34333,822,,0,79,"['spiderum', 'áo giáp ngực phụ nữ', 'áo ngực phụ nữ', 'spiderum giáo dục', 'spiderum lịch sử', 'spiderum channel', 'Áo giáp ngực phụ nữ liệu có thiết thực hay không? | FightingStyles | Quan điểm', 'áo giáp ngực phụ nữ được tạo ra như thế nào', 'sự thiếu khoa học của áo giác ngực phụ nữ', 'nói không với áo ngực', 'giáp ngực phụ nữ', 'ÁO GIÁP NGỰC PHỤ NỮ: Thiết thực hay Ngớ ngẩn? | FightingStyles | Quan điểm']",2024-07-09 14:10:10.960405
U_jKXmAo_Qg,"KHÔNG BÁN THỊT, HỌ BÁN NGƯỜI | Gekki_ | Thế giới",2023-09-07T10:30:16Z,PT14M2S,2d,hd,39223,895,,0,63,"['KHÔNG BÁN THỊT HỌ BÁN NGƯỜI | Gekki_ | Thế giới', 'không bán thịt họ bán người spiderum', 'buôn bán người sang trung quốc liều lĩnh vtv24', 'tinh vi thủ đoạn giăng bẫy buôn bán người nội địa vtv24', 'lộ diện đường dây buôn bán người xuyên biên giới vtv24', 'triệt phá đường dây buôn bán người xuyên biên giới', 'lột mặt những con quỷ buôn bán người', 'hành trình phá án antv', 'bị người yêu lừa bán qua biên giới', 'làm thế nào thoát khỏi đường dây buôn bán người', 'đường dây buôn người']",2024-07-09 14:10:11.086420
hxBa3SgOp_A,Tại sao thương hiệu Việt CHÌM NGHỈM trên trường QUỐC TẾ? | Fei-Fei | Quan điểm,2023-09-06T10:30:12Z,PT8M52S,2d,hd,53632,1542,,0,318,"['Tại sao thương hiệu Việt CHÌM NGHỈM trên trường QUỐC TẾ? | Fei-Fei | Quan điểm', 'đây là thời điểm vàng của thương hiệu quốc gia việt nam trần tuệ tri haveasip', 'những thương hiệu Việt Nam bán mình cho người ngoài người thành công', 'những thương hiệu khét tiếng thời bao cấp việt nam', 'thương hiệu việt xưa và nay vtv24', 'vì sao thương hiệu việt thất bại ở quốc tế', 'nas daily haveasip vietcetera', 'càng cực đoan càng có thể thay đổi mọi thứ nas daily haveasip', 'nas daily nói về việt nam']",2024-07-09 14:10:11.213929
KBwurnakdMI,Bạn có tò mò về NHẬT KÝ KHẮC KỶ của HOÀNG ĐẾ LA MÃ MARCUS AURELIUS? #suytuong #chunghiakhacky,2023-09-06T04:00:08Z,PT1M,2d,hd,8026,608,,0,3,"['spiderum', 'spiderum giáo dục', 'spiderum lịch sử', 'spiderum channel', 'Chủ nghĩa Khắc Kỷ', 'nô lệ đồng tiền', 'nô lệ của đồng tiền', 'sách chủ nghĩa khắc kỷ', 'chủ nghĩa khắc kỷ', 'chủ nghĩa khắc kỷ là gì', 'triết học khắc kỷ', 'chu nghia khac ky', 'no le dong tien', 'no le cua dong tien', 'kiếm tiền', 'bài học kinh doanh', 'kinh doanh', 'bài học thành công', 'bài học kinh doanh đắt giá']",2024-07-09 14:10:11.336063
_qaldgCTTaA,Tại sao bạn LUÔN THẤT BẠI khi HỌC KỸ NĂNG MỚI? | CongQuach | Giáo dục,2023-09-05T10:30:11Z,PT8M59S,2d,hd,19846,744,,0,23,"['kỹ năng mềm', 'kỹ năng giao tiếp', 'phát triển bản thân', 'thất bại trong việc học kỹ năng mới', 'việc học kỹ năng mới', 'hoc ky nang moi', 'thất bại', 'that bai', 'that bai trong viec hoc kỹ nang moi', 'bài học kinh doanh', 'bài học thành công', 'phát triển bản thân mỗi ngày', 'kỹ năng phát triển bản thân', 'phát triển bản thân là gì', 'Tại sao bạn LUÔN THẤT BẠI khi HỌC KỸ NĂNG MỚI? | CongQuach | Giáo dục', 'kỹ năng tự học hiệu quả hieutv', 'top 5 kỹ năng quan trọng mà người trẻ nên ưu tiên']",2024-07-09 14:10:11.453459
tWKvfINC1vM,Nicotine tác động đến cơ thể như thế nào? | Oranggee | Khoa học,2023-09-04T10:30:18Z,PT9M31S,2d,hd,47551,1142,,0,116,"['spiderum', 'spiderum giáo dục', 'spiderum lịch sử', 'spiderum channel', 'Nicotine', 'Nicotine tác động đến cơ thể như thế nào', 'Nicotine tác động đến cơ thể', 'tác động của nicotin đến cơ thể', 'tác động của nicotin', 'tac dong cua nicotin', 'bỏ thuốc lá', 'thuốc lá', 'tác hại của thuốc lá điện tử', 'thuốc lá điện tử', 'thuoc la', 'tac hai cua thuoc la', 'tac hai thuoc la', 'tác hại thuốc lá', 'tác hại thuốc lá điện tử', 'nicotine']",2024-07-09 14:10:11.577481
WAkeh2-Yxq4,Cái tôi bị Mạng Xã Hội ảnh hưởng ra sao? | Andy Luong | Quan điểm,2023-09-03T10:30:11Z,PT8M28S,2d,hd,26952,819,,0,15,"['spiderum', 'spiderum giáo dục', 'spiderum lịch sử', 'spiderum channel', 'mạng xã hội', 'tác hại của mạng xã hội đối với giới trẻ', 'tác hại của mạng xã hội', 'tác hại của tiktok', 'tác hại của facebook', 'tác hại của mạng xã hội facebook', 'nghiện mạng xã hội', 'cai nghiện mạng xã hội', 'trẻ em nghiện mạng xã hội', 'hủy hoại bản thân']",2024-07-09 14:10:11.699713
